City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Gigmoto,PH,13.7796,124.39,77.7,90,100,13.78,heavy intensity rain
166,Koppang,NO,61.5706,11.0555,5.25,95,23,2.33,few clouds
167,Hilo,US,19.7297,-155.09,82.13,62,40,10.36,scattered clouds
168,Aasiaat,GL,68.7098,-52.8699,19.06,95,100,6.71,light snow
169,Shenjiamen,CN,29.9576,122.298,47.34,89,100,10.92,overcast clouds
170,Morondava,MG,-20.2833,44.2833,79.36,85,90,2.13,light rain
171,Kavaratti,IN,10.5669,72.642,79.9,78,28,9.08,scattered clouds
172,Muzhi,RU,65.3667,64.6667,1.72,90,100,12.44,overcast clouds
173,Port Alfred,ZA,-33.5906,26.891,70.81,87,3,4.72,clear sky
174,Launceston,AU,-41.45,147.1667,69.15,51,7,9.22,clear sky
175,Port Augusta,AU,-32.5,137.7667,78.71,27,0,6.87,clear sky
176,Vestmannaeyjar,IS,63.4427,-20.2734,33.17,72,100,10.02,overcast clouds
177,Bubaque,GW,11.2833,-15.8333,79.05,70,33,6.62,scattered clouds
178,Sinnamary,GF,5.3833,-52.95,75.92,89,36,10.31,scattered clouds
179,Rocha,UY,-34.4833,-54.3333,69.53,92,88,4.76,moderate rain
180,Obo,CF,5.3998,26.4869,77.32,19,67,8.12,broken clouds
181,Papetoai,PF,-17.4961,-149.8729,85.59,71,37,13.38,light rain
182,Manga,BF,11.6636,-1.0731,76.59,11,19,8.19,few clouds
183,Souillac,MU,-20.5167,57.5167,75.36,94,20,5.75,few clouds
184,Hoi An,VN,15.8794,108.335,73.36,85,100,5.97,overcast clouds
185,Vila Velha,BR,-20.3297,-40.2925,75.15,93,75,5.75,broken clouds
186,Kempele,FI,64.9131,25.5034,12.22,92,0,5.75,clear sky
187,Palmer,US,42.1584,-72.3287,47.8,45,75,11.5,broken clouds
188,Nouadhibou,MR,20.931,-17.0347,71.58,46,88,11.5,overcast clouds
189,Tres Picos,MX,15.8667,-93.5333,80.91,59,3,3.69,clear sky
190,Shu,KZ,43.5983,73.7614,37.65,60,100,8.99,overcast clouds
191,Telde,ES,27.9924,-15.4192,64.04,68,0,4.61,clear sky
192,Bahar,IR,34.9072,48.4414,32.16,100,100,2.3,snow
193,Awjilah,LY,29.1081,21.2869,51.89,54,0,5.61,clear sky
194,Tucuman,AR,-26.8241,-65.2226,68.0,94,75,5.75,broken clouds
195,Srednekolymsk,RU,67.45,153.6833,-33.18,98,38,6.51,scattered clouds
196,Ponta Do Sol,PT,32.6667,-17.1,64.06,76,27,6.69,scattered clouds
197,Lagoa,PT,39.05,-27.9833,59.56,76,100,14.29,overcast clouds
198,Tadine,NC,-21.55,167.8833,83.39,74,98,14.58,overcast clouds
199,Greensburg,US,40.3015,-79.5389,54.99,47,40,5.75,scattered clouds
200,Touros,BR,-5.1989,-35.4608,83.3,80,92,7.81,light rain
201,Medicine Hat,CA,50.0501,-110.6683,35.31,33,100,13.8,overcast clouds
202,Katsuura,JP,35.1333,140.3,46.11,61,43,12.08,scattered clouds
203,Muroto,JP,33.2833,134.15,41.04,61,99,9.48,overcast clouds
204,Edmond,US,35.6528,-97.4781,57.51,42,57,1.99,broken clouds
205,Mar Del Plata,AR,-38.0023,-57.5575,62.1,76,100,25.01,light rain
206,Namibe,AO,-15.1961,12.1522,75.97,83,92,3.69,overcast clouds
207,Matay,EG,28.419,30.7792,50.86,65,0,9.24,clear sky
208,Dutlwe,BW,-23.9833,23.9,71.15,52,11,7.78,few clouds
209,Harindanga,IN,22.0383,88.3214,60.78,54,5,6.04,clear sky
210,Yashan,CN,22.1975,109.9419,57.85,89,100,5.06,overcast clouds
211,Pevek,RU,69.7008,170.3133,-28.88,99,99,6.26,overcast clouds
212,Campbell River,CA,50.0163,-125.2446,46.78,71,75,2.3,broken clouds
213,Ukiah,US,39.1502,-123.2078,82.53,27,0,3.44,clear sky
214,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,75,70,2.19,broken clouds
215,Ust-Nera,RU,64.5667,143.2,-32.12,98,65,2.51,broken clouds
216,Porecatu,BR,-22.7558,-51.3792,84.27,76,0,4.88,clear sky
217,Rezina,MD,47.7492,28.9622,38.8,89,64,4.61,broken clouds
218,Norman Wells,CA,65.282,-126.8329,-11.16,77,20,2.3,few clouds
219,Marsh Harbour,BS,26.5412,-77.0636,74.39,76,74,13.27,broken clouds
220,Lodja,CD,-3.4833,23.4333,70.11,92,93,1.41,light rain
221,Udachnyy,RU,66.4167,112.4,-15.09,100,98,3.53,overcast clouds
222,Hami,CN,42.8,93.45,29.14,55,100,4.79,overcast clouds
223,Sitka,US,57.0531,-135.33,40.24,97,100,9.4,light rain
224,Badou,TG,7.5833,0.6,74.84,52,71,2.84,broken clouds
225,Port-Cartier,CA,50.0334,-66.8654,15.91,91,89,4.21,overcast clouds
226,Luanda,AO,-8.8368,13.2343,75.52,87,92,6.69,overcast clouds
227,Bagotville,AU,-28.9833,153.4167,75.22,94,57,15.46,light rain
228,Marrakesh,MA,31.6315,-8.0083,55.47,62,0,3.44,clear sky
229,Honningsvag,NO,70.9821,25.9704,30.47,55,99,15.57,snow
230,Tigil,RU,57.8,158.6667,-6.61,97,77,1.12,broken clouds
231,Almaznyy,RU,48.0448,40.045,37.54,93,100,11.99,overcast clouds
232,Boshnyakovo,RU,49.6333,142.1667,20.52,90,100,1.41,light snow
233,Batemans Bay,AU,-35.7167,150.1833,75.2,62,55,9.37,broken clouds
234,Puerto Madryn,AR,-42.7692,-65.0385,63.14,48,20,15.17,few clouds
235,Zhezkazgan,KZ,47.8043,67.7144,19.85,87,99,18.52,overcast clouds
236,Saldanha,ZA,-33.0117,17.9442,64.45,93,31,17.43,scattered clouds
237,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,85,100,2.3,overcast clouds
238,Lebu,CL,-37.6167,-73.65,59.0,76,0,23.06,clear sky
239,Kondopoga,RU,62.2057,34.2614,26.28,91,99,8.95,overcast clouds
240,Verkhnyaya Toyma,RU,62.2349,44.9985,16.54,98,100,3.24,overcast clouds
241,Ankazobe,MG,-18.3167,47.1167,64.81,92,47,3.65,scattered clouds
242,Penhold,CA,52.1334,-113.8687,34.54,40,0,4.61,clear sky
243,Belleville,CA,44.1788,-77.3705,37.99,94,100,12.66,light rain
244,Narasannapeta,IN,18.4167,84.05,67.84,83,45,6.29,scattered clouds
245,Maragogi,BR,-9.0122,-35.2225,80.24,76,91,10.71,overcast clouds
246,Sokoni,TZ,-6.4333,39.55,79.92,76,99,9.62,overcast clouds
247,Nantucket,US,41.2835,-70.0995,45.09,75,0,11.43,clear sky
248,Purpe,RU,64.4803,76.6897,-10.21,83,58,11.45,broken clouds
249,Kushima,JP,31.4583,131.2333,46.44,70,100,7.14,overcast clouds
250,Ilulissat,GL,69.2167,-51.1,24.8,88,100,6.76,overcast clouds
251,Yenotayevka,RU,47.2456,47.0281,40.08,90,100,15.97,light rain
252,Champaign,US,40.1334,-88.2001,39.02,81,100,14.0,overcast clouds
253,Maridi,SS,4.9158,29.4742,72.1,33,53,4.07,broken clouds
254,Ust-Omchug,RU,61.15,149.6333,-23.4,94,89,3.04,overcast clouds
255,Igurusi,TZ,-8.85,33.85,64.13,95,100,1.95,light rain
256,Goryachegorsk,RU,55.4053,88.9154,-8.99,94,5,5.06,clear sky
257,Faya,SA,18.3851,42.4509,53.71,84,39,3.8,scattered clouds
258,Huaiyin,CN,33.5886,119.0192,38.19,83,33,4.56,scattered clouds
259,Ust-Kuyga,RU,70.0167,135.6,-21.87,99,97,8.03,overcast clouds
260,San Jose,US,37.3394,-121.895,80.76,38,40,8.05,scattered clouds
261,Camacupa,AO,-12.0167,17.4833,60.33,81,54,3.53,broken clouds
262,Batagay-Alyta,RU,67.8006,130.4114,-23.04,88,86,5.26,overcast clouds
263,Korla,CN,41.7597,86.1469,25.92,48,6,3.67,clear sky
264,Cajuru,BR,-21.2753,-47.3042,72.57,91,8,2.86,clear sky
265,Pangnirtung,CA,66.1451,-65.7125,5.0,47,100,6.91,overcast clouds
266,Plettenberg Bay,ZA,-34.0527,23.3716,64.58,82,0,3.27,clear sky
267,Filadelfia,US,39.9523,-75.1638,56.08,43,20,10.36,few clouds
268,Goundam,ML,16.4145,-3.6708,64.45,18,13,9.35,few clouds
269,Touba,CI,8.2833,-7.6833,74.32,17,41,0.67,scattered clouds
270,Goderich,CA,43.7501,-81.7165,35.2,93,100,13.8,overcast clouds
271,Jashpurnagar,IN,22.9,84.15,47.07,44,19,4.29,few clouds
272,Kavieng,PG,-2.5744,150.7967,83.55,68,97,2.98,overcast clouds
273,Ahuimanu,US,21.4447,-157.8378,80.2,61,0,9.22,clear sky
274,Hualmay,PE,-11.0964,-77.6139,71.6,80,52,9.84,broken clouds
275,Peniche,PT,39.3558,-9.3811,57.09,92,100,7.74,overcast clouds
276,Hobyo,SO,5.3505,48.5268,75.33,67,61,14.83,broken clouds
277,Manono,CD,-7.3,27.4167,67.35,96,86,1.28,overcast clouds
278,Buala,SB,-8.145,159.5921,76.15,93,100,3.53,moderate rain
279,Japura,ID,-0.3167,102.35,72.66,98,100,2.82,overcast clouds
280,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,92,100,7.74,overcast clouds
281,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.72,95,100,1.83,very heavy rain
282,Alofi,NU,-19.0595,-169.9187,84.09,70,3,16.11,clear sky
283,Saint Anthony,US,45.0205,-93.218,12.24,61,100,11.01,overcast clouds
284,Cherskiy,RU,68.75,161.3,-34.51,99,94,6.71,overcast clouds
285,Nogales,MX,31.3086,-110.9422,72.09,14,0,11.72,clear sky
286,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,75,8.37,broken clouds
287,Emerald,AU,-23.5333,148.1667,81.34,65,100,9.22,overcast clouds
288,Gamba,GA,-2.65,10.0,76.95,90,22,4.9,few clouds
289,Mogocha,RU,53.7333,119.7667,-13.31,94,99,3.62,overcast clouds
290,Palu,ID,-0.8917,119.8707,76.35,96,100,1.1,overcast clouds
291,Half Moon Bay,US,37.4636,-122.4286,80.8,56,0,10.36,clear sky
292,Chokurdakh,RU,70.6333,147.9167,-4.43,96,100,12.97,overcast clouds
293,Wanaka,NZ,-44.7,169.15,57.72,84,100,5.79,overcast clouds
294,Kaitangata,NZ,-46.2817,169.8464,59.94,60,86,6.33,overcast clouds
295,Talcahuano,CL,-36.7167,-73.1167,69.48,49,0,14.97,clear sky
296,Erzin,TR,36.9559,36.2,36.12,63,0,2.13,clear sky
297,Bela,IN,25.9333,81.9833,48.54,63,0,7.27,clear sky
298,Maralal,KE,1.0968,36.698,58.26,73,31,5.46,scattered clouds
299,Guane,CU,22.2025,-84.0875,72.54,83,59,3.36,broken clouds
300,Victor Harbor,AU,-35.5667,138.6167,76.8,67,0,8.46,clear sky
301,Jardim,BR,-21.4803,-56.1381,84.51,46,82,4.63,broken clouds
302,Ayan,RU,56.45,138.1667,7.23,78,100,4.72,overcast clouds
303,Murighiol,RO,45.0333,29.1667,34.29,64,15,1.07,few clouds
304,Riberalta,BO,-10.9833,-66.1,77.2,94,75,11.5,thunderstorm
305,Murakami,JP,38.2333,139.4833,33.69,86,99,3.36,overcast clouds
306,Hamilton,US,39.1834,-84.5333,50.63,78,100,5.99,overcast clouds
307,Porto-Vecchio,FR,41.591,9.2795,49.53,100,0,2.3,clear sky
308,Pangai,TO,-19.8,-174.35,86.11,66,20,14.97,few clouds
309,Luderitz,NA,-26.6481,15.1594,75.97,64,94,11.03,overcast clouds
310,Girne,CY,35.3417,33.3167,54.28,68,0,7.54,clear sky
311,Flinders,AU,-34.5833,150.8552,70.88,91,100,9.24,light rain
312,Ulaangom,MN,49.9811,92.0667,-28.19,92,94,2.91,overcast clouds
313,Aklavik,CA,68.2191,-135.0107,-13.97,70,20,5.75,few clouds
314,Nurota,UZ,40.5614,65.6886,35.69,89,100,5.91,overcast clouds
315,Atikokan,CA,48.7555,-91.6216,-7.31,83,98,11.25,overcast clouds
316,Asau,RO,46.4333,26.4,36.39,90,61,6.15,broken clouds
317,Kazanskoye,RU,55.6448,69.235,-2.67,87,96,15.08,overcast clouds
318,Varel,DE,53.3969,8.1362,34.07,82,7,7.2,clear sky
319,Olafsvik,IS,64.8945,-23.7142,27.82,72,100,21.83,overcast clouds
320,Dharmavaram,IN,14.4333,77.7167,66.54,63,2,4.29,clear sky
321,Nebolchi,RU,59.1239,33.3454,23.94,91,94,8.75,overcast clouds
322,Lavrentiya,RU,65.5833,-171.0,-21.71,91,23,7.7,few clouds
323,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,20,5.75,few clouds
324,North Bend,US,43.4065,-124.2243,67.24,64,0,9.75,clear sky
325,Piacabucu,BR,-10.4056,-36.4344,80.78,77,32,13.38,scattered clouds
326,Buzoesti,RO,44.5833,24.9167,41.77,71,19,3.78,few clouds
327,Lata,PT,40.1629,-8.3327,52.05,93,100,0.58,overcast clouds
328,Itaituba,BR,-4.2761,-55.9836,74.19,98,100,0.78,overcast clouds
329,Una,IN,20.8167,71.0333,64.89,32,3,10.11,clear sky
330,Ipixuna,BR,-1.7625,-48.8043,80.55,92,99,4.43,overcast clouds
331,Broome,US,42.2506,-75.833,48.0,54,100,13.0,overcast clouds
332,Riyadh,SA,24.6877,46.7219,57.34,46,3,11.68,clear sky
333,Buluang,PH,13.3068,123.3425,74.86,96,99,4.99,overcast clouds
334,Port-Gentil,GA,-0.7193,8.7815,80.6,81,74,11.1,broken clouds
335,Dongsheng,CN,39.8161,109.9776,20.25,48,100,12.59,overcast clouds
336,Klaksvik,FO,62.2266,-6.589,40.12,96,100,27.87,overcast clouds
337,Harper,LR,4.375,-7.7169,78.48,87,29,5.44,scattered clouds
338,Caravelas,BR,-17.7125,-39.2481,75.9,87,47,4.9,scattered clouds
339,Sumkino,RU,58.1108,68.3244,-2.11,87,76,13.31,broken clouds
340,Kalianget,ID,-7.05,113.9333,77.23,88,100,8.68,overcast clouds
341,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.13,77,85,10.27,overcast clouds
342,Muros,ES,42.7762,-9.0603,53.24,95,95,1.5,overcast clouds
343,Otane,NZ,-39.8833,176.6333,73.0,92,100,5.21,overcast clouds
344,Bathsheba,BB,13.2167,-59.5167,77.61,65,40,19.57,scattered clouds
345,Bryant,US,34.5959,-92.4891,63.0,64,82,4.92,broken clouds
