City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,East London,ZA,2022-02-01 21:02:31,-33.0153,27.9116,75.81,87,100,6.08
228,Nouadhibou,MR,2022-02-01 21:04:38,20.931,-17.0347,67.03,77,91,13.76
229,Yibin,CN,2022-02-01 21:04:38,28.7667,104.6238,44.24,87,100,1.21
230,Tuatapere,NZ,2022-02-01 21:04:39,-46.1333,167.6833,73.81,77,97,7.45
231,Lompoc,US,2022-02-01 21:04:39,34.6391,-120.4579,68.68,25,0,13.8
232,Jambi,ID,2022-02-01 21:04:39,-1.6,103.6167,72.23,99,100,4.32
233,Airai,TL,2022-02-01 21:04:40,-8.9266,125.4092,59.23,83,80,2.98
234,Santa Maria,BR,2022-02-01 21:03:01,-29.6842,-53.8069,93.99,23,0,7.34
235,Lebu,CL,2022-02-01 21:04:40,-37.6167,-73.65,64.31,76,0,12.35
236,Tsuyama,JP,2022-02-01 21:04:40,35.05,134.0,33.35,92,48,2.13
237,Clearlake,US,2022-02-01 21:04:41,38.9582,-122.6264,59.63,21,0,17.0
238,Novyy Urengoy,RU,2022-02-01 21:03:40,66.0833,76.6333,-15.75,100,100,4.05
239,Valdivia,CL,2022-02-01 21:02:32,-39.8142,-73.2459,71.44,57,6,6.24
240,Inuvik,CA,2022-02-01 21:02:11,68.3499,-133.7218,-10.44,77,75,2.3
241,Araouane,ML,2022-02-01 21:04:42,18.9048,-3.5265,72.1,12,79,10.29
242,Alyangula,AU,2022-02-01 21:00:54,-13.8483,136.4192,81.34,77,100,14.03
243,Beringovskiy,RU,2022-02-01 21:04:42,63.05,179.3167,-0.49,83,99,14.34
244,Mehamn,NO,2022-02-01 21:04:43,71.0357,27.8492,23.18,68,0,23.02
245,Lavrentiya,RU,2022-02-01 21:03:02,65.5833,-171.0,-0.02,78,20,16.04
246,Zhaotong,CN,2022-02-01 21:01:45,27.3167,103.7167,26.24,96,100,4.94
247,Cherskiy,RU,2022-02-01 21:04:43,68.75,161.3,-6.02,80,82,3.36
248,Tuktoyaktuk,CA,2022-02-01 21:02:14,69.4541,-133.0374,-6.2,97,100,7.16
249,Bowen,AU,2022-02-01 21:04:44,-20.0167,148.2333,79.16,82,100,2.73
250,Rock Springs,US,2022-02-01 21:04:44,41.5875,-109.2029,24.24,33,0,11.5
251,Alamosa,US,2022-02-01 21:04:45,37.4695,-105.87,37.38,41,100,9.22
252,Broome,US,2022-02-01 21:04:45,42.2506,-75.833,36.21,53,0,5.01
253,Port Hedland,AU,2022-02-01 21:01:50,-20.3167,118.5667,80.65,100,100,0.0
254,Bonthe,SL,2022-02-01 21:04:46,7.5264,-12.505,78.84,85,66,10.11
255,Asfi,MA,2022-02-01 21:04:46,32.2994,-9.2372,60.24,50,0,16.24
256,Nanortalik,GL,2022-02-01 21:04:46,60.1432,-45.2371,8.8,77,10,11.61
257,Tignere,CM,2022-02-01 21:04:47,7.3667,12.65,65.98,21,17,2.08
258,Verkhnevilyuysk,RU,2022-02-01 21:04:47,63.4453,120.3167,-29.97,99,89,5.21
259,Kungurtug,RU,2022-02-01 21:04:48,50.5994,97.5228,-19.44,99,69,1.63
260,Oistins,BB,2022-02-01 21:04:48,13.0667,-59.5333,80.69,69,40,16.11
261,Alto Araguaia,BR,2022-02-01 21:04:48,-17.3147,-53.2153,72.03,92,97,6.35
262,Padang,ID,2022-02-01 21:04:49,-0.9492,100.3543,75.96,87,100,3.42
263,Tazovskiy,RU,2022-02-01 21:04:49,67.4667,78.7,-8.03,100,94,5.03
264,Tezu,IN,2022-02-01 21:04:50,27.9167,96.1667,53.02,91,100,2.28
265,Cayenne,GF,2022-02-01 21:04:50,4.9333,-52.3333,74.08,92,75,3.0
266,Luganville,VU,2022-02-01 21:04:50,-15.5333,167.1667,80.47,82,98,3.31
267,Nongan,CN,2022-02-01 21:04:51,44.382,125.1685,-0.22,87,6,7.2
268,Rio Claro,BR,2022-02-01 21:02:30,-22.4114,-47.5614,74.39,88,100,2.33
269,Qaanaaq,GL,2022-02-01 21:01:47,77.484,-69.3632,-18.27,73,100,11.88
270,Tombouctou,ML,2022-02-01 21:05:51,20.0,-3.0,71.31,16,63,11.97
271,Ahipara,NZ,2022-02-01 21:05:52,-35.1667,173.1667,71.92,78,100,15.5
272,Westport,US,2022-02-01 21:01:24,41.1415,-73.3579,37.36,65,65,1.01
273,Hami,CN,2022-02-01 21:05:52,42.8,93.45,22.15,33,87,0.81
274,Cururupu,BR,2022-02-01 21:05:53,-1.8283,-44.8683,78.1,88,82,4.56
